id,name,calcium_amount_mg,fat_amount_g,iron_amount_mg,protein_amount_g,calories_amount_kcal,sugar_amount_g,sodium_amount_mg,saturated_fat_amount_g,fiber_amount_g,carbohydrates_amount_g,pct_protein,pct_fat,pct_carbs,savory,sweet,salty,sour,bitter,fatty,spicy,neutral,soft,tender,juicy,smooth,chewy,crunchy,liquid,creamy,crispy,powdery,flaky,gooey,slimy,moist,crumbly,fluffy,sticky,dry,oily,hard
5165,whole turkey,0.8454070663021651,1.0,0.8023151811775877,1.0,1.0,0.23744490348452676,0.9137844673709923,1.0,0.0,0.0,0.6304,0.3696,0.0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,whole chicken,0.5503426409592812,0.8000130050008866,0.3632922489829746,0.6629230988152534,0.8087115992847433,0.0,0.6316686876734098,0.7614760308821422,0.0,0.0,0.3544,0.6456000000000001,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5109,roasting chicken,0.6599148166127208,0.9719951963245426,0.6376225850766137,0.7812298835160737,0.9100334273255057,0.0,0.7261777111004953,0.9883290470999067,0.0,0.1055775410786895,0.3289,0.6694,0.0017000000000000001,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17009,lamb shanks,0.25714095530363923,0.1970857045633731,0.16497576247371012,0.38924682319144205,0.5038306612968513,0.0,0.42661416032203103,0.12937643271327362,0.0,0.0,0.7401000000000001,0.25989999999999996,0.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10035021,marrow bones,0.0,0.3761462668903689,0.06545071244282395,0.05674287739780289,0.48310366704307,0.0,0.0,0.0,0.0,0.0,0.0341,0.9659,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10072,pork shoulder,0.43970244763255395,0.46426275712170073,0.2395942181415697,0.5149743294192178,0.640380260828252,0.0,0.5260599276713505,0.38973748312427164,0.0,0.0,0.5489,0.4511,0.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
17013,leg of lamb,0.331516873542734,0.39429664417235444,0.31829944072237726,0.5326618471876372,0.6306907230263215,0.0,0.5103524725298452,0.3175840948063878,0.0,0.0,0.6695,0.33049999999999996,0.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13227,beef shank,0.46831494910394744,0.3305698727432523,0.32273110379124087,0.5073852895145595,0.6037362683449844,0.0,0.4869923554590639,0.23868404607948848,0.0,0.0,0.7152,0.2848,0.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10044,bone in pork rib roast,0.5462059384223817,0.5745131397408659,0.16088501155551468,0.5446788215583565,0.687410708403976,0.0,0.5092596901811947,0.41402269261593566,0.0,0.0,0.4495,0.5505,0.0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15147,lobster,0.34837938171065747,0.015503951762969011,0.007597501616276932,0.16334286469488032,0.27418659989667116,0.0,0.44323407983734364,0.005451007435924976,0.0,0.0,0.9073,0.09269999999999999,0.0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
