id,name,calcium_amount_mg,fat_amount_g,iron_amount_mg,protein_amount_g,calories_amount_kcal,sugar_amount_g,sodium_amount_mg,saturated_fat_amount_g,fiber_amount_g,carbohydrates_amount_g,pct_protein,pct_fat,pct_carbs,flavor,savory,sweet,salty,sour,bitter,fatty,spicy,neutral,texture,soft,tender,juicy,smooth,chewy,crunchy,liquid,creamy,crispy,powdery,flaky,gooey,slimy,moist,crumbly,fluffy,moist,sticky,dry,oily,hard
5165,whole turkey,277.26,142.16,21.68,545.44,3553.91,1.51,2822.96,36.82,0,0,63.04,36.96,0.00,savory,1,0,0,0,0,0,0,0,soft; chewy,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5006,whole chicken,38.02,52.05,3.11,64.28,743.04,0,241.92,14.9,0,0,35.44,64.56,0.00,sweet; fatty,0,1,0,0,0,1,0,0,crunchy; hard; oily,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
5109,roasting chicken,79.93,123.58,10.95,136.61,1702.62,,551.55,35.25,0,0.72,32.89,66.94,0.17,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
17009,lamb shanks,4.54,1.66,0.9,10.63,60.52,,39.84,0.6,0,0,74.01,25.99,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10035021,marrow bones,,5.47,0.29,0.43,50.93,,,,,0,3.41,96.59,0.00,fatty; savory,1,0,0,0,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10072,pork shoulder,17.68,9.02,1.54,24.69,186.88,,95.97,3.12,0,0,54.89,45.11,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; moist,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
17013,leg of lamb,8.09,6.08,2.45,27.72,172.57,,83.59,2.17,0,0,66.95,33.05,0.00,fatty; savory,1,0,0,0,0,1,0,0,tender; juicy; moist,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
13227,beef shank,21.6,4.16,2.51,23.49,138.24,,68.04,1.38,0,0,71.52,28.48,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; moist; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
10044,bone in pork rib roast,36.96,16.32,0.87,29.98,274.98,0,82.79,3.5,0,0,44.95,55.05,0.00,savory; fatty,1,0,0,0,0,1,0,0,tender; moist; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
15147,lobster,9.17,0.08,0.03,1.8,8.41,0,46.19,0.02,0,0,90.73,9.27,0.00,salty; sweet; savory,1,1,1,0,0,0,0,0,tender; juicy; soft,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10015147,lobster tails,9.17,0.08,0.03,1.8,8.41,0,46.19,0.02,0,0,90.73,9.27,0.00,salty; sweet; savory,1,1,1,0,0,0,0,0,tender; juicy; soft,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10017032,lean rack of lamb,3.77,2.9,0.52,6.27,53.05,,22.6,1.04,0,0,49.03,50.97,0.00,fatty; savory,1,0,0,0,0,1,0,0,tender; juicy,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10098966,cooked udon noodles,0,0.63,0,3.51,80.63,2.13,280.44,0,1.29,15.73,16.97,6.87,76.16,savory,1,0,0,0,0,0,0,0,chewy; tender; smooth,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15167,oysters,0.53,0.02,0.04,0.05,0.46,0.01,0.76,0,0,0.02,46.51,31.34,22.15,salty; savory,1,0,1,0,0,0,0,0,tender; soft; slimy; juicy,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15243,crawfish,0.61,0.02,0.01,0.21,1.04,,1.16,0,0,0,85.69,14.31,0.00,savory; salty,1,0,1,0,0,0,0,0,tender; juicy; slimy,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
