User,Intolerances,Diet,Model Ranked,Ground Truth Ranked,Model Filtered,Ground Truth Filtered,Filter Precision,Filter Accuracy,Spearman Correlation
1,tree_nut,vegan,"baby spinach, white bread, tofu, table salt, water","tofu, baby spinach, white bread, water, table salt","whole chicken, lobster, almonds, cupcakes, cheese","almonds, whole chicken, lobster, cheese, cupcakes",1.0,1.0,0.6
2,"dairy, egg",ketogenic,"almonds, tofu, whole chicken, lobster, baby spinach, table salt, water","whole chicken, almonds, lobster, tofu, baby spinach, water, table salt","white bread, cupcakes, cheese","white bread, cupcakes, cheese",1.0,1.0,0.7857
3,"gluten, soy",paleo,"table salt, lobster, whole chicken, baby spinach, almonds, water","whole chicken, lobster, almonds, baby spinach, water, table salt","white bread, tofu, cupcakes, cheese","tofu, white bread, cupcakes, cheese",1.0,1.0,0.0286
4,"peanut, sesame",whole30,"almonds, whole chicken, lobster, table salt, baby spinach, water","almonds, baby spinach, whole chicken, lobster, water, table salt","white bread, tofu, cupcakes, cheese","cupcakes, white bread, tofu, cheese",1.0,1.0,0.5429
5,shellfish,pescetarian,"baby spinach, tofu, almonds, white bread, cheese, cupcakes, table salt, water","tofu, cheese, almonds, baby spinach, cupcakes, white bread, water, table salt","whole chicken, lobster","whole chicken, lobster",1.0,1.0,0.6905
6,none,low_fodmap,"baby spinach, whole chicken, lobster, table salt, almonds, water, tofu","almonds, baby spinach, tofu, whole chicken, lobster, water, table salt","white bread, cupcakes, cheese","cupcakes, white bread, cheese",1.0,1.0,0.1071
7,dairy,lacto_vegetarian,"table salt, tofu, baby spinach, almonds, white bread, water","tofu, almonds, baby spinach, white bread, water, table salt","whole chicken, lobster, cupcakes, cheese","whole chicken, lobster, cheese, cupcakes",1.0,1.0,0.0857
8,wheat,gluten_free,"tofu, lobster, whole chicken, table salt, baby spinach, almonds, water, cheese","baby spinach, water, tofu, almonds, whole chicken, lobster, cheese, table salt","white bread, cupcakes","white bread, cupcakes",1.0,1.0,-0.0238
9,none,primal,"almonds, whole chicken, cheese, lobster, table salt, baby spinach, water","almonds, whole chicken, cheese, lobster, baby spinach, water, table salt","white bread, tofu, cupcakes","tofu, white bread, cupcakes",1.0,1.0,0.8929
10,sulfite,ovo_vegetarian,"baby spinach, tofu, white bread, cupcakes, table salt, almonds, water","baby spinach, almonds, tofu, white bread, cupcakes, water, table salt","whole chicken, lobster, cheese","cheese, whole chicken, lobster",1.0,1.0,0.5714
