User,Intolerances,Diet,Preferred Foods,Disliked Foods,Model Ranked,Ground Truth Ranked,Model Filtered,Ground Truth Filtered,Filter Precision,Filter Accuracy,Spearman Correlation
1,tree_nut,vegan,,,"baby spinach, white bread, tofu, table salt, water, lobster, cheese, almonds, whole chicken, cupcakes","tofu, baby spinach, white bread, water, table salt","lobster, cheese, almonds, whole chicken, cupcakes","almonds, whole chicken, lobster, cheese, cupcakes",1.0,1.0,0.6
2,"dairy, egg",ketogenic,,,"almonds, whole chicken, tofu, lobster, baby spinach, table salt, water, cheese, white bread, cupcakes","whole chicken, almonds, lobster, tofu, baby spinach, water, table salt","cheese, white bread, cupcakes","white bread, cupcakes, cheese",1.0,1.0,0.8929
3,"gluten, soy",paleo,whole turkey,,"lobster, almonds, baby spinach, whole chicken, table salt, water, white bread, cheese, tofu, cupcakes","whole chicken, lobster, almonds, baby spinach, water, table salt","white bread, cheese, tofu, cupcakes","tofu, white bread, cupcakes, cheese",1.0,1.0,0.6
4,"peanut, sesame",whole30,lettuce,,"almonds, baby spinach, whole chicken, lobster, table salt, water, white bread, cupcakes, tofu, cheese","almonds, baby spinach, whole chicken, lobster, water, table salt","white bread, cupcakes, tofu, cheese","cupcakes, white bread, tofu, cheese",1.0,1.0,0.9429
5,shellfish,pescetarian,,,"baby spinach, cheese, tofu, almonds, white bread, table salt, cupcakes, water, lobster, whole chicken","tofu, cheese, almonds, baby spinach, cupcakes, white bread, water, table salt","lobster, whole chicken","whole chicken, lobster",1.0,1.0,0.7143
6,none,low_fodmap,,,"baby spinach, almonds, tofu, whole chicken, lobster, table salt, water, cheese, white bread, cupcakes","almonds, baby spinach, tofu, whole chicken, lobster, water, table salt","cheese, white bread, cupcakes","cupcakes, white bread, cheese",1.0,1.0,0.9286
7,dairy,lacto_vegetarian,peanuts,,"baby spinach, tofu, white bread, almonds, table salt, water, lobster, cheese, cupcakes, whole chicken","tofu, almonds, baby spinach, white bread, water, table salt","lobster, cheese, cupcakes, whole chicken","whole chicken, lobster, cheese, cupcakes",1.0,1.0,0.6571
8,wheat,gluten_free,,,"tofu, whole chicken, lobster, almonds, cheese, baby spinach, water, table salt, cupcakes, white bread","tofu, whole chicken, lobster, almonds, baby spinach, cheese, water, table salt","cupcakes, white bread","white bread, cupcakes",1.0,1.0,0.9762
9,none,primal,whole turkey,,"whole chicken, almonds, cheese, baby spinach, lobster, table salt, water, white bread, tofu, cupcakes","almonds, whole chicken, cheese, lobster, baby spinach, water, table salt","white bread, tofu, cupcakes","tofu, white bread, cupcakes",1.0,1.0,0.8929
10,sulfite,ovo_vegetarian,,,"baby spinach, tofu, white bread, cupcakes, table salt, water, almonds, lobster, whole chicken, cheese","baby spinach, tofu, white bread, cupcakes, almonds, water, table salt","lobster, whole chicken, cheese","cheese, whole chicken, lobster",1.0,1.0,0.8571
