id,serving_size_g,name,aisle,image,consistency,category_path,copper_amount,copper_unit,copper_pct_daily,manganese_amount,manganese_unit,manganese_pct_daily,net_carbohydrates_amount,net_carbohydrates_unit,net_carbohydrates_pct_daily,mono_unsaturated_fat_amount,mono_unsaturated_fat_unit,mono_unsaturated_fat_pct_daily,vitamin_c_amount,vitamin_c_unit,vitamin_c_pct_daily,fluoride_amount,fluoride_unit,fluoride_pct_daily,vitamin_k_amount,vitamin_k_unit,vitamin_k_pct_daily,carbohydrates_amount,carbohydrates_unit,carbohydrates_pct_daily,lycopene_amount,lycopene_unit,lycopene_pct_daily,vitamin_b12_amount,vitamin_b12_unit,vitamin_b12_pct_daily,sugar_amount,sugar_unit,sugar_pct_daily,vitamin_b3_amount,vitamin_b3_unit,vitamin_b3_pct_daily,vitamin_b1_amount,vitamin_b1_unit,vitamin_b1_pct_daily,sodium_amount,sodium_unit,sodium_pct_daily,protein_amount,protein_unit,protein_pct_daily,caffeine_amount,caffeine_unit,caffeine_pct_daily,zinc_amount,zinc_unit,zinc_pct_daily,selenium_amount,selenium_unit,selenium_pct_daily,vitamin_e_amount,vitamin_e_unit,vitamin_e_pct_daily,vitamin_b5_amount,vitamin_b5_unit,vitamin_b5_pct_daily,calcium_amount,calcium_unit,calcium_pct_daily,potassium_amount,potassium_unit,potassium_pct_daily,saturated_fat_amount,saturated_fat_unit,saturated_fat_pct_daily,vitamin_b2_amount,vitamin_b2_unit,vitamin_b2_pct_daily,cholesterol_amount,cholesterol_unit,cholesterol_pct_daily,fat_amount,fat_unit,fat_pct_daily,phosphorus_amount,phosphorus_unit,phosphorus_pct_daily,vitamin_a_amount,vitamin_a_unit,vitamin_a_pct_daily,vitamin_d_amount,vitamin_d_unit,vitamin_d_pct_daily,choline_amount,choline_unit,choline_pct_daily,poly_unsaturated_fat_amount,poly_unsaturated_fat_unit,poly_unsaturated_fat_pct_daily,vitamin_b6_amount,vitamin_b6_unit,vitamin_b6_pct_daily,calories_amount,calories_unit,calories_pct_daily,alcohol_amount,alcohol_unit,alcohol_pct_daily,folate_amount,folate_unit,folate_pct_daily,fiber_amount,fiber_unit,fiber_pct_daily,iron_amount,iron_unit,iron_pct_daily,folic_acid_amount,folic_acid_unit,folic_acid_pct_daily,magnesium_amount,magnesium_unit,magnesium_pct_daily,pct_protein,pct_fat,pct_carbs,weight_per_serving_amount,weight_per_serving_unit,prop_glycemic_index,prop_glycemic_load,prop_inflammation_score,prop_nutrition_score,flavonoid_cyanidin_mg,flavonoid_petunidin_mg,flavonoid_delphinidin_mg,flavonoid_malvidin_mg,flavonoid_pelargonidin_mg,flavonoid_peonidin_mg,flavonoid_catechin_mg,flavonoid_epigallocatechin_mg,flavonoid_epicatechin_mg,flavonoid_epicatechin_3-gallate_mg,flavonoid_epigallocatechin_3-gallate_mg,flavonoid_theaflavin_mg,flavonoid_thearubigins_mg,flavonoid_eriodictyol_mg,flavonoid_hesperetin_mg,flavonoid_naringenin_mg,flavonoid_apigenin_mg,flavonoid_luteolin_mg,flavonoid_isorhamnetin_mg,flavonoid_kaempferol_mg,flavonoid_myricetin_mg,flavonoid_quercetin_mg,"flavonoid_theaflavin-3,3'-digallate_mg",flavonoid_theaflavin-3'-gallate_mg,flavonoid_theaflavin-3-gallate_mg,flavonoid_gallocatechin_mg,estimated_cost_value,estimated_cost_unit,trans_fat_amount,trans_fat_unit,trans_fat_pct_daily,sugar_alcohol_amount,sugar_alcohol_unit,sugar_alcohol_pct_daily,flavor,texture,color_name,hex_code,allergens,diet
1103,240,1 percent chocolate milk,"Milk, Eggs, Other Dairy",chocolate-milk.jpg,liquid,chocolate milk|flavored milk|milk|drink,0.18,mg,9.0,0.15,mg,7.44,27.36,g,9.95,1.09,g,0.0,0.0,mg,0.0,12.48,mg,0.0,0.48,µg,0.46,29.04,g,9.68,0.0,µg,0.0,0.79,µg,13.2,22.92,g,25.47,0.39,mg,1.97,0.11,mg,7.2,158.4,mg,6.89,7.18,g,14.35,2.4,mg,0.8,0.94,mg,6.24,8.16,µg,11.66,0.1,mg,0.64,1.29,mg,12.94,261.6,mg,26.16,405.6,mg,11.59,2.83,g,17.7,0.44,mg,25.84,19.2,mg,6.4,4.56,g,7.02,244.8,mg,24.48,544.8,IU,10.9,2.88,µg,19.2,41.04,mg,0.0,0.21,g,0.0,0.06,mg,2.88,182.4,kcal,9.12,0.0,g,100.0,4.8,µg,1.2,1.68,g,6.72,0.58,mg,3.2,0.0,µg,0.0,33.6,mg,8.4,15.44,22.08,62.48,240,g,0.0,0.0,0.0,9.187826025745142,0.0,0.0,0.0,0.0,0.0,0.0,1.97,0.0,0.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.29,0.0,0.0,0.0,0.0,40.68,USD,,,,,,,sweet; mild,liquid; smooth,Brown,#A0522D,dairy,"gluten_free,lacto_vegetarian,ovo_vegetarian,pescetarian,vegetarian"
1082,240,1 percent milk,"Milk, Eggs, Other Dairy",milk.png,liquid,milk|drink,0.0,mg,0.12,0.01,mg,0.36,12.46,g,4.53,0.5,g,0.0,0.0,mg,0.0,6.24,mg,0.0,0.24,µg,0.23,12.46,g,4.15,0.0,µg,0.0,1.46,µg,24.4,11.9,g,13.23,0.27,mg,1.36,0.14,mg,9.12,93.6,mg,4.07,8.11,g,16.22,0.0,mg,0.0,1.03,mg,6.88,5.04,µg,7.2,0.05,mg,0.32,0.87,mg,8.66,302.4,mg,30.24,381.6,mg,10.9,1.36,g,8.52,0.34,mg,19.76,12.0,mg,4.0,2.28,g,3.51,247.2,mg,24.72,470.4,IU,9.41,2.64,µg,17.6,41.76,mg,0.0,0.08,g,0.0,0.14,mg,7.2,103.2,kcal,5.16,0.0,g,100.0,4.8,µg,1.2,0.0,g,0.0,0.0,mg,0.0,0.0,µg,0.0,28.8,mg,7.2,31.57,19.96,48.47,240,g,0.0,0.0,0.0,8.125217309788518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.68,USD,,,,,,,mild,liquid; smooth,White,#FFFFFF,dairy,"gluten_free,lacto_vegetarian,pescetarian,vegetarian"
1174,240,2 percent milk,"Milk, Eggs, Other Dairy",milk.png,liquid,milk|drink,0.01,mg,0.72,0.03,mg,1.68,11.52,g,4.19,1.34,g,0.0,0.48,mg,0.58,8.16,mg,0.0,0.48,µg,0.46,11.52,g,3.84,0.0,µg,0.0,1.27,µg,21.2,12.14,g,13.49,0.22,mg,1.1,0.09,mg,6.24,112.8,mg,4.9,7.92,g,15.84,0.0,mg,0.0,1.15,mg,7.68,6.0,µg,8.57,0.07,mg,0.48,0.85,mg,8.54,288.0,mg,28.8,336.0,mg,9.6,3.02,g,18.85,0.44,mg,26.12,19.2,mg,6.4,4.75,g,7.31,220.8,mg,22.08,244.8,IU,4.9,0.0,µg,0.0,39.36,mg,0.0,0.18,g,0.0,0.09,mg,4.56,120.0,kcal,6.0,0.0,g,100.0,12.0,µg,3.0,0.0,g,0.0,0.05,mg,0.27,0.0,µg,0.0,26.4,mg,6.6,26.28,35.48,38.24,240,g,0.0,0.0,0.0,7.094782623259918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.68,USD,0.2,g,2040.0,,,,mild,liquid; smooth,White,#FFFFFF,dairy,"gluten_free,ketogenic,lacto_vegetarian,ovo_vegetarian,pescetarian,primal,vegetarian"
99273,100,20 percent quark,"Milk, Eggs, Other Dairy",white-cream-fluffy.jpg,solid,quark,0.0,mg,0.0,0.0,mg,0.0,3.9,g,1.42,0.0,g,0.0,0.0,mg,0.0,0.0,mg,0.0,0.0,µg,0.0,3.9,g,1.3,,,,0.0,µg,0.0,3.9,g,4.33,0.0,mg,0.0,0.0,mg,0.0,130.0,mg,5.65,10.5,g,21.0,0.0,mg,0.0,0.0,mg,0.0,0.0,µg,0.0,0.0,mg,0.0,0.0,mg,0.0,0.0,mg,0.0,0.0,mg,0.0,2.9,g,18.13,0.0,mg,0.0,0.0,mg,0.0,4.4,g,6.77,0.0,mg,0.0,0.0,IU,0.0,0.0,µg,0.0,,,,0.0,g,0.0,0.0,mg,0.0,97.0,kcal,4.85,0.0,g,100.0,0.0,µg,0.0,0.0,g,0.0,0.0,mg,0.0,,,,0.0,mg,0.0,43.21,40.74,16.05,100,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.14,USD,0.0,g,0.0,,,,tart; mild,creamy; smooth,White,#FFFFFF,dairy,"gluten_free,ketogenic,lacto_vegetarian,ovo_vegetarian,pescetarian,vegetarian"
99272,100,40 percent quark,"Milk, Eggs, Other Dairy",white-cream-fluffy.jpg,solid,quark,0.0,mg,0.0,0.0,mg,0.0,3.7,g,1.35,0.0,g,0.0,0.0,mg,0.0,0.0,mg,0.0,0.0,µg,0.0,3.7,g,1.23,,,,0.0,µg,0.0,3.7,g,4.11,0.0,mg,0.0,0.0,mg,0.0,130.0,mg,5.65,9.0,g,18.0,0.0,mg,0.0,0.0,mg,0.0,0.0,µg,0.0,0.0,mg,0.0,0.0,mg,0.0,0.0,mg,0.0,0.0,mg,0.0,6.8,g,42.5,0.0,mg,0.0,0.0,mg,0.0,10.0,g,15.38,0.0,mg,0.0,0.0,IU,0.0,0.0,µg,0.0,,,,0.0,g,0.0,0.0,mg,0.0,141.0,kcal,7.05,0.0,g,100.0,0.0,µg,0.0,0.0,g,0.0,0.0,mg,0.0,,,,0.0,mg,0.0,25.57,63.92,10.51,100,g,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.14,USD,0.0,g,0.0,,,,tart; mild,creamy; smooth,White,#FFFFFF,dairy,"gluten_free,lacto_vegetarian,ovo_vegetarian,pescetarian,vegetarian"
10123572,113,80 percent lean ground beef,Meat,fresh-ground-beef.jpg,solid,lean ground beef|ground beef|beef|red meat|meat,0.07,mg,3.45,0.01,mg,0.56,0.0,g,0.0,9.9,g,0.0,0.0,mg,0.0,25.31,mg,0.0,2.03,µg,1.94,0.0,g,0.0,0.0,µg,0.0,2.42,µg,40.3,0.0,g,0.0,4.78,mg,23.88,0.05,mg,3.24,75.71,mg,3.29,19.4,g,38.8,0.0,mg,0.0,4.72,mg,31.49,16.95,µg,24.21,0.46,mg,3.09,0.57,mg,5.67,20.34,mg,2.03,305.1,mg,8.72,8.67,g,54.19,0.17,mg,9.84,80.23,mg,26.74,22.6,g,34.77,178.54,mg,17.85,0.0,IU,0.0,0.11,µg,0.75,63.73,mg,0.0,0.59,g,0.0,0.36,mg,18.25,287.02,kcal,14.35,0.0,g,100.0,7.91,µg,1.98,0.0,g,0.0,2.19,mg,12.18,0.0,µg,0.0,19.21,mg,4.8,27.62,72.38,0.0,113,g,0.0,0.0,0.0,9.314347767311594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.39,USD,1.39,g,13921.6,,,,savory; mild,tender; hearty,Red,#FF0000,,"gluten_free,ketogenic,low_fodmap,paleo,primal,whole30"
23567,113,85 percent lean ground beef,Meat,fresh-ground-beef.jpg,solid,lean ground beef|ground beef|beef|red meat|meat,0.08,mg,3.79,0.01,mg,0.56,0.0,g,0.0,7.41,g,0.0,0.0,mg,0.0,25.31,mg,0.0,1.47,µg,1.4,0.0,g,0.0,0.0,µg,0.0,2.45,µg,40.87,0.0,g,0.0,5.25,mg,26.27,0.05,mg,3.16,74.58,mg,3.24,21.01,g,42.01,0.0,mg,0.0,5.06,mg,33.75,17.85,µg,25.51,0.42,mg,2.79,0.62,mg,6.2,16.95,mg,1.7,333.35,mg,9.52,6.63,g,41.43,0.17,mg,10.1,76.84,mg,25.61,16.95,g,26.08,193.23,mg,19.32,0.0,IU,0.0,0.11,µg,0.75,69.16,mg,0.0,0.49,g,0.0,0.39,mg,19.55,242.95,kcal,12.15,0.0,g,100.0,6.78,µg,1.7,0.0,g,0.0,2.36,mg,13.12,0.0,µg,0.0,20.34,mg,5.09,35.52,64.48,0.0,113,g,0.0,0.0,0.0,9.789130405239437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.39,USD,1.06,g,10565.5,,,,savory; mild,tender; hearty,Red,#FF0000,,"gluten_free,ketogenic,low_fodmap,paleo,primal,whole30"
23562,113,90 percent lean ground beef,Meat,fresh-ground-beef.jpg,solid,lean ground beef|ground beef|beef|red meat|meat,0.08,mg,4.07,0.01,mg,0.56,0.0,g,0.0,4.92,g,0.0,0.0,mg,0.0,25.31,mg,0.0,0.9,µg,0.86,0.0,g,0.0,0.0,µg,0.0,2.5,µg,41.62,0.0,g,0.0,5.73,mg,28.66,0.05,mg,3.16,74.58,mg,3.24,22.6,g,45.2,0.0,mg,0.0,5.41,mg,36.08,18.76,µg,26.8,0.36,mg,2.41,0.67,mg,6.72,13.56,mg,1.36,362.73,mg,10.36,4.59,g,28.66,0.18,mg,10.37,73.45,mg,24.48,11.3,g,17.38,207.92,mg,20.79,0.0,IU,0.0,0.11,µg,0.75,74.69,mg,0.0,0.39,g,0.0,0.42,mg,20.85,198.88,kcal,9.94,0.0,g,100.0,6.78,µg,1.7,0.0,g,0.0,2.53,mg,14.06,0.0,µg,0.0,22.6,mg,5.65,47.06,52.94,0.0,113,g,0.0,0.0,0.0,10.29695658320966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.97,USD,0.72,g,7209.4,,,,savory; mild,tender; hearty,Red,#FF0000,,"gluten_free,ketogenic,low_fodmap,paleo,primal,whole30"
5665,113,93 percent lean ground turkey,Meat,meat-ground.jpg,solid,ground turkey|turkey|poultry|meat,0.12,mg,6.05,0.01,mg,0.45,0.0,g,0.0,3.21,g,0.0,0.0,mg,0.0,,,,0.0,µg,0.0,0.0,g,0.0,0.0,µg,0.0,1.36,µg,22.6,0.0,g,0.0,6.12,mg,30.61,0.08,mg,5.05,77.97,mg,3.39,21.16,g,42.33,0.0,mg,0.0,2.86,mg,19.06,21.47,µg,30.67,0.12,mg,0.83,1.13,mg,11.3,23.73,mg,2.37,240.69,mg,6.88,2.45,g,15.33,0.21,mg,12.3,83.62,mg,27.87,9.42,g,14.5,218.09,mg,21.81,82.49,IU,1.65,0.45,µg,3.01,59.89,mg,0.0,2.87,g,0.0,0.4,mg,19.77,169.5,kcal,8.48,0.0,g,100.0,7.91,µg,1.98,0.0,g,0.0,1.32,mg,7.35,0.0,µg,0.0,23.73,mg,5.93,49.95,50.05,0.0,113,g,0.0,0.0,0.0,9.116086996119956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,186.4,USD,0.13,g,1265.6,,,,savory; mild,tender; hearty,Pink,#FFC0CB,,"gluten_free,ketogenic,low_fodmap,paleo,primal,whole30"
23557,113,95 percent lean ground beef,Meat,fresh-ground-beef.jpg,solid,lean ground beef|ground beef|beef|red meat|meat,0.09,mg,4.35,0.01,mg,0.56,0.0,g,0.0,2.43,g,0.0,0.0,mg,0.0,25.31,mg,0.0,0.34,µg,0.32,0.0,g,0.0,0.0,µg,0.0,2.53,µg,42.19,0.0,g,0.0,6.21,mg,31.04,0.05,mg,3.09,74.58,mg,3.24,24.19,g,48.39,0.0,mg,0.0,5.75,mg,38.34,19.66,µg,28.09,0.32,mg,2.11,0.73,mg,7.25,10.17,mg,1.02,390.98,mg,11.17,2.54,g,15.89,0.18,mg,10.7,70.06,mg,23.35,5.65,g,8.69,223.74,mg,22.37,0.0,IU,0.0,0.11,µg,0.75,80.12,mg,0.0,0.29,g,0.0,0.44,mg,22.15,154.81,kcal,7.74,0.0,g,100.0,5.65,µg,1.41,0.0,g,0.0,2.69,mg,14.94,0.0,µg,0.0,24.86,mg,6.22,65.55,34.45,0.0,113,g,0.0,0.0,0.0,10.78565213991248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.97,USD,0.39,g,3853.3,,,,savory; mild,tender; hearty,Red,#FF0000,,"gluten_free,ketogenic,low_fodmap,paleo,primal,whole30"
